Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,PAM-2016-40374,01/31/2019,PSEGLI,Montauk,Suffolk,11954,,,9NR4L4,Battery,Nextera,RFP,5000,POINT (-71.946795 41.03525)
12/31/2023,CH-00768,05/12/2015,Central Hudson,Newburgh,Orange,12550,Newburgh,Bethlehem Rd,4091,Battery,CB&I,,120,POINT (-74.014375 41.49861)
12/31/2023,402932,02/03/2023,National Grid,GANSEVOORT,Saratoga,12831,038-Glens Falls,BUTLER 362,36_38_36251,Battery,Sara Hildebrand (Solar City),NM,15.2,POINT (-73.76468 43.134105)
12/31/2023,321541,01/07/2021,National Grid,HOMER,Cortland,13077,012 - Cortland,NYSEG,36_12_SEG09,Battery,PJ Beck (Renovus Solar),NM,8,POINT (-76.184135 42.63652)
12/31/2023,PAM-2020-84417,10/14/2021,PSEGLI,Lake Success,Nassau,11020,,,3AG064,Battery,TESLA,NM,20,POINT (-73.708035053 40.759421728)
12/31/2023,PAM-2023-326266,05/17/2023,PSEGLI,PLAINVIEW,Nassau,11803,,,5L6H3,Battery,"EmPower CES, LLC",NM,10,POINT (-73.471725 40.77726)
12/31/2023,PAM-2022-243386,01/18/2023,PSEGLI,WESTBURY,Nassau,11590,,,5M087,Battery,"Tesla, Inc.",NM,5,POINT (-73.585285 40.76066)
12/31/2023,SDG-51566,01/24/2023,Con Ed,MOUNT KISCO,Westchester,10549,CENY-W,Millwood_West,7W51,Battery,Tesla,NM,5,POINT (-73.7266393 41.2068937)
12/31/2023,PAM-2020-83945,04/27/2021,PSEGLI,Long Beach,Nassau,11561,,,2M597,Battery,EmPower  Solar,NM,10,POINT (-73.65149 40.58875)
12/31/2023,DGINT-12016,09/27/2022,O&R,FLORIDA,Orange,10921,Central,Chester,63-8-13,Battery,Sunrun Inc,NM,3.7,POINT (-74.357285 41.333585)
12/31/2023,PAM-2022-173863,06/07/2022,PSEGLI,SOUTHAMPTON,Suffolk,11968,,,9B722,Battery,"Sunrun, Inc.",NM,5,POINT (-72.39259 40.889825)
12/31/2023,PAM-2021-136746,11/04/2021,PSEGLI,WESTBURY,Nassau,11590,,,4UH328,Battery,"EmPower CES, LLC",NM,5,POINT (-73.585285 40.76066)
12/31/2023,PAM-2022-210960,01/13/2023,PSEGLI,E MEADOW,Nassau,11554,,,5M103,Battery,"Sunrun, Inc.",NM,5,POINT (-73.54813 40.72094)
12/31/2023,LDG-00368,05/05/2020,Con Ed,Tarrytown,Westchester,10591,CENY-W,Elmsford_No.2,12W34,Battery,Peak Power Energy,NM,500,POINT (-73.8613837 41.0804691)
12/31/2023,PAM-2019-62202,07/17/2019,PSEGLI,Melville,Suffolk,11747,,,6U692,Battery,Solar City,,15,POINT (-73.40535 40.806545)
12/31/2023,CH-11489,08/16/2019,Central Hudson,Poughkeepsie,Dutchess,12603,Poughkeepsie,Manchester,6092,Battery,SolarCity DBA Tesla Energy,NM,10,POINT (-73.89901 41.69646)
12/31/2023,393260,04/15/2022,National Grid,CRARYVILLE,Columbia,12521,033 - Hudson,BLUE STORES 303,36_33_30353,Battery,Suncommon RBK - Residential (SunCommon),NM,10,POINT (-73.59207 42.14765)
12/31/2023,PAM-2021-146298,11/10/2021,PSEGLI,N MERRICK,Nassau,11566,,,5R024,Battery,"Tesla, Inc.",NM,10,POINT (-73.56013219 40.686780286)
12/31/2023,PAM-2021-157819,09/08/2022,PSEGLI,SMITHTOWN,Suffolk,11787,,,6L967,Battery,"EmPower CES, LLC",NM,10,POINT (-73.199 40.854405)
12/31/2023,384245,12/28/2021,National Grid,BROCKPORT,Monroe,14420,006 - Albion/Medina,W. HAMLIN 82,36_06_8253,Battery,Cody Primmer (GreenSpark Solar),NM,10.24,POINT (-77.940015 43.214665)
12/31/2023,PAM-2020-79088,07/10/2020,PSEGLI,HUNT STA,Suffolk,11746,,,6Q4K8,Battery,Sunation Solar Systems,NM,5,POINT (-73.410015 40.8429)
12/31/2023,PAM-2022-267294,11/22/2022,PSEGLI,MEDFORD,Suffolk,11763,,,8GX9H3,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.001045 40.815645)
12/31/2023,20416,07/05/2023,NYSEG,Endicott,Broome,13760,Binghamton,NYS-MAINE 267,8102502,Battery,ETM Solar Works,NM,5,POINT (-76.032545 42.110115)
12/31/2023,22207,10/31/2023,NYSEG,Nichols,Tioga,13812,Binghamton,NYS-LOUNSBERRY 179,8102802,Battery,,NM,10,POINT (-76.3699284 42.020003)
12/31/2023,PAM-2021-103577,08/02/2021,PSEGLI,FARMINGDALE,Nassau,11735,,,6BL259,Battery,SUNation Solar Systems Inc.,NM,20,POINT (-73.424565 40.71553)
12/31/2023,PAM-2022-172212,04/25/2022,PSEGLI,PT WASH,Nassau,11050,,,4X3P4,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.69653 40.83192)
12/31/2023,PAM-2021-128572,05/11/2022,PSEGLI,LEVITTOWN,Nassau,11756,,,5M089,Battery,NY State Solar LLC,NM,3.84,POINT (-73.51867 40.72191)
12/31/2023,PAM-2020-85277,04/23/2021,PSEGLI,Commack,Suffolk,11725,,,6DL843,Battery,TESLA,NM,20,POINT (-73.2965971 40.8393268)
12/31/2023,CH-05216,09/11/2017,Central Hudson,Accord,Ulster,12404,Kingston,High Falls,3024,Battery,SolarCity,NM,9.8,POINT (-74.229344 41.7912131)
12/31/2023,PAM-2021-166296,05/18/2022,PSEGLI,ROCKY PT,Suffolk,11778,,,8Q6K4,Battery,Venture Solar,NM,5.12,POINT (-72.92337 40.953525)
12/31/2023,PAM-2023-333940,07/13/2023,PSEGLI,WESTBURY,Nassau,11590,,,4MG207,Battery,"Trinity Solar, Inc.",NM,10,POINT (-73.585285 40.76066)
12/31/2023,CH-11323,04/23/2019,Central Hudson,Beacon,Dutchess,12508,Fishkill,Forgebrook,8016,Battery,"Tesla Energy Operations, Inc.",NM,5,POINT (-73.97211 41.50452)
12/31/2023,PAM-2019-63164,08/13/2019,PSEGLI,Garden City,Nassau,11530,,,4K019,Battery,TESLA,NM,10,POINT (-73.67746 40.723995)
12/31/2023,447954,12/28/2022,National Grid,NORTH CREEK,Warren,12853,040-Warrensburg,N. CREEK 122,36_40_12252,Battery,Dean Fagan (NxtPhase Solar Energy),NM,9,POINT (-73.9842004 43.6984981)
12/31/2023,PAM-2022-214177,01/30/2023,PSEGLI,RONKONKOMA,Suffolk,11779,,,8A726,Battery,"Sunrun, Inc.",NM,20,POINT (-73.118045 40.813995)
12/31/2023,,03/31/2022,NYSEG,,Wyoming,14569,,,,Battery,,Wholesale,20000,POINT (-78.1325852 42.740665)
12/31/2023,PAM-2021-161518,12/20/2021,PSEGLI,NEW HYDE PK,Nassau,11040,,,3KG302,Battery,"Tesla, Inc.",NM,10,POINT (-73.665365 40.74155)
12/31/2023,SDG-29640,12/05/2022,Con Ed,Yonkers,Westchester,10705,CENY-W,Elmsford_No.2,12W76,Battery,SolarCity,NM,15,POINT (-73.8973 40.91925)
12/31/2023,PAM-2017-48686,03/09/2018,PSEGLI,DIX HILLS,Suffolk,11747,,,6BR2N2,Battery,Solar City/Tesla,NM,10,POINT (-73.40535 40.806545)
12/31/2023,PAM-2021-169962,01/24/2022,PSEGLI,HICKSVILLE,Nassau,11801,,,5X273,Battery,"Tesla, Inc.",NM,5,POINT (-73.52431 40.76632)
12/31/2023,17036,04/12/2021,NYSEG,WINDHAM,Greene,12496,Oneonta,NYS-WINDHAM 239,2308239,Battery,Hudson River Renewables LLC,NM,8,POINT (-74.2480702 42.3081143)
12/31/2023,SDG-45262,08/08/2022,Con Ed,MOUNT KISCO,Westchester,10549,CENY-W,Millwood_West,7W40,Battery,Tesla,NM,5,POINT (-73.7266393 41.2068937)
12/31/2023,DGINT-13319,07/25/2023,O&R,WARWICK,Orange,10990,Central,Wisner,80-2-13,Battery,Sunrun Inc,NM,12,POINT (-74.358345 41.25477)
12/31/2023,PAM-2021-113104,01/03/2022,PSEGLI,GARDEN CITY,Nassau,11530,,,3W004,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.67746 40.723995)
12/31/2023,PAM-2022-187950,03/23/2023,PSEGLI,GREENLAWN,Suffolk,11740,,,6UL856,Battery,"Sunrun, Inc.",NM,5,POINT (-73.36334 40.865165)
12/31/2023,PAM-2022-191369,05/11/2022,PSEGLI,E HAMPTON,Suffolk,11937,,,9E992,Battery,GreenLogic LLC,NM,20,POINT (-72.1866703 40.9679047)
12/31/2023,PAM-2020-82810,03/19/2021,PSEGLI,Hampton Bays,Suffolk,11946,,,9J932,Battery,Green Logic,NM,5,POINT (-72.53217 40.87136)
12/31/2023,PAM-2020-82641,02/25/2021,PSEGLI,WEST ISLIP,Suffolk,11795,,,7H872,Battery,TESLA,NM,10,POINT (-73.300175 40.72377)
12/31/2023,20311,02/23/2023,NYSEG,Pawling,Dutchess,12564,Brewster,NYS-TEN MILE RIVER 444,1107844,Battery,Solar City Corp DBA Tesla,NM,11.6,POINT (-73.5983653 41.5584453)
12/31/2023,DGINT-11680,06/07/2022,O&R,MIDDLETOWN,Orange,10940,West,Otisville,41456,Battery,Sunrun Inc,NM,7.6,POINT (-74.419957 41.4452505)
12/31/2023,445271,01/21/2023,National Grid,LATHAM,Albany,12110,030-Albany,FORTS FERRY 459,36_30_45951,Battery,Sara Hildebrand (Solar City DBA Tesla Energy),NM,7.6,POINT (-73.7582297 42.7457537)
12/31/2023,22139,09/28/2023,NYSEG,AUSTERLITZ,Columbia,12017,Mechanicville,NYS-KLINE KILL 631,1205403,Battery,Solar City Corp DBA Tesla,NM,10,POINT (-73.4211974 42.3397247)
12/31/2023,DGINT-06960,09/11/2018,O&R,GRANDVIEW,Rockland,10960,East,Orangeburg,54-4-13,Battery,SolarCity,NM,10,POINT (-73.92278 41.09404)
12/31/2023,PAM-2022-281331,06/16/2023,PSEGLI,LONG BCH,Nassau,11561,,,2A7N1,Battery,"EmPower CES, LLC",NM,5,POINT (-73.65149 40.58875)
12/31/2023,515455,05/10/2023,National Grid,RENSSELAER,Rensselaer,12144,030-Albany,RENSSELAER 132,36_30_13256,Battery,Achilles Tzoulafis (Infinity Solar Systems),NM,1.28,POINT (-73.7295697 42.6169324)
12/31/2023,21898,08/03/2023,NYSEG,SHERBURNE,Chenango,13460,Oneonta,NYS-WOODS CORNERS 012,2305312,Battery,Intelligent Green Solutions,NM,10,POINT (-75.50106 42.68388)
12/31/2023,PAM-2020-82045,11/24/2020,PSEGLI,MASSAPEQUA,Nassau,11758,,,5G112,Battery,Long Island Power Solutions,NM,2.54,POINT (-73.474285 40.680415)
12/31/2023,SDG-48621,03/09/2023,Con Ed,Croton-On-Hudson,Westchester,10520,CENY-W,Buchanan,87U3,Battery,Croton Energy Group,NM,10,POINT (-73.882295 41.20147)
12/31/2023,PAM-2020-82284,12/29/2020,PSEGLI,Sands Point,Nassau,11050,,,3H7K8,Battery,TESLA,NM,10,POINT (-73.702992453 40.852333274)
12/31/2023,DGINT-12151,01/30/2023,O&R,CHESTER,Orange,10918,Central,Chester,63-2-13,Battery,Trinity Solar,NM,7.6,POINT (-74.27481 41.357035)
12/31/2023,PAM-2020-85111,04/26/2021,PSEGLI,GREENLAWN,Suffolk,11740,,,6UL856,Battery,Sunation Solar Systems,NM,5,POINT (-73.36334 40.865165)
12/31/2023,17150,03/31/2021,NYSEG,Dover Plains,Dutchess,12522,Brewster,NYS-DOVER PLAINS 494,1106094,Battery,SunCommon,NM,11.6,POINT (-73.5779453 41.7380996)
12/31/2023,PAM-2020-84778,07/29/2021,PSEGLI,East Patchogue,Suffolk,11772,,,8AX649,Battery,Sunation Solar Systems,NM,10,POINT (-72.984579064 40.773335453)
12/31/2023,PAM-2021-163113,01/20/2022,PSEGLI,WOODBURY,Nassau,11797,,,5K010,Battery,"Tesla, Inc.",NM,10,POINT (-73.4773472 40.8076119)
12/31/2023,15140,10/30/2019,NYSEG,NARROWSBURG,Sullivan,12764,Liberty,NYS-LUXTON LAKE 182,2402182,Battery,Solar Liberty Energy Systems LLC,NM,5,POINT (-75.0612212 41.6086247)
12/31/2023,PAM-2021-86260,03/05/2021,PSEGLI,Hicksville,Nassau,11801,,,5B375,Battery,TESLA,NM,5,POINT (-73.52431 40.76632)
12/31/2023,PAM-2021-141753,12/17/2021,PSEGLI,FRANKLIN SQ,Nassau,11010,,,3J198,Battery,"Tesla, Inc.",NM,5,POINT (-73.6755374 40.7087917)
12/31/2023,PAM-2020-85459,07/06/2021,PSEGLI,Jericho,Nassau,11753,,,5B375,Battery,TESLA,NM,15,POINT (-73.5354502 40.7839742)
12/31/2023,339439,04/13/2021,National Grid,LEE CENTER,Oneida,13363,018 - Rome,TURIN RD 653,36_18_65357,Battery,Andrew Esguerra (SolarCity DBA Tesla Energy),NM,10,POINT (-75.5188154 43.302289)
